uvkey,aqi
"(2198011907, 32010804, 0)",1.893
"(2198011907, 2198011952, 0)",1.88
"(2198011907, 2198011889, 0)",1.88
"(2198011907, 266071613, 0)",1.88
"(1007190025, 313896452, 0)",1.931
"(1007190025, 313896455, 0)",1.931
"(1007190025, 554099610, 0)",1.944
"(1007190026, 621184393, 0)",1.97
"(1007190026, 383937913, 0)",1.905
"(1007190026, 267339182, 0)",1.944
"(1007190032, 383937913, 0)",1.905
"(1007190032, 6049124143, 0)",1.893
"(1007190032, 6049124146, 0)",1.905
"(664436752, 297284544, 0)",1.931
"(664436752, 3361686373, 0)",1.893
"(664436752, 664437980, 0)",1.867
"(34177042, 462027522, 0)",1.828
"(34177042, 34176925, 0)",1.828
"(34177042, 470921611, 0)",1.828
"(34177042, 34176924, 0)",1.828
"(1166376980, 346567417, 0)",1.996
"(1166376980, 352909955, 0)",1.944
"(1166376980, 1166376997, 0)",2.048
"(34177044, 462027517, 0)",1.815
"(34177044, 364643641, 0)",1.815
"(34177044, 470921611, 0)",1.828
"(34177045, 462516665, 0)",1.828
"(34177045, 34177631, 0)",1.828
"(34177045, 364643641, 0)",1.828
"(664436756, 939084324, 0)",1.918
"(664436756, 2434430323, 0)",1.905
"(664436756, 297284544, 0)",1.893
"(34177054, 34176339, 0)",1.828
"(34177054, 290598447, 0)",1.854
"(34177054, 34177377, 0)",1.828
"(34177054, 364644610, 0)",1.828
"(1166376997, 1166376980, 0)",2.048
"(1166376997, 357906141, 0)",2.009
"(1166376997, 333400325, 0)",2.048
"(2198011952, 2198011907, 0)",1.88
"(2198011952, 176146387, 0)",1.893
"(2198011952, 207380718, 0)",1.905
"(2198011952, 196484406, 0)",1.88
"(1725890612, 60707553, 0)",1.918
"(1725890612, 365308170, 0)",1.918
"(1725890612, 364899324, 0)",1.918
"(1725890632, 365303537, 0)",1.905
"(1725890632, 365303538, 0)",1.918
"(1725890632, 364899060, 0)",1.931
"(345800781, 364526400, 0)",1.841
"(345800781, 729610333, 0)",1.841
"(345800781, 34658615, 0)",1.841
"(3597205587, 2562704086, 0)",1.828
"(3597205587, 2562704081, 0)",1.828
