edge_id;length;gvi;aqi;noises;mdB
0;62.2332;0.49;1.85;{50: 62.2332};52.5
1;5.8506;0.51;1.86;{65: 5.85056};67.5
2;47.3303;0.35;1.85;{55: 47.33031};57.5
3;41.8707;0.07;1.87;{60: 41.87074};62.5
4;4.8923;0.65;1.89;{60: 4.89233};62.5
5;5.164;0.11;1.97;{75: 5.16405};77.5
6;21.9779;0.13;2.0;{75: 21.97792};77.5
7;23.6913;0.06;1.9;{65: 17.7685, 60: 5.92283};66.3
8;102.9162;0.28;1.96;{65: 75.67365, 70: 27.24252};68.8
9;43.7753;0.39;1.0;{45: 43.77531};47.5
10;6.5712;0.4;1.88;{55: 6.57122};57.5
11;6.4631;0.4;1.88;{55: 6.46306};57.5
12;8.0383;0.2;1.89;{65: 8.03833};67.5
13;59.5941;0.29;1.87;{50: 59.59414};52.5
14;32.8341;0.24;1.95;{75: 32.8341};77.5
15;5.7289;0.25;1.88;{55: 5.72891};57.5
16;10.2083;0.38;1.86;{45: 10.20829};47.5
17;10.085;0.11;1.89;{60: 6.7233, 62: 3.36165};63.2
18;30.2719;0.11;1.89;{65: 24.21753, 62: 6.05438};66.9
19;28.8009;0.39;1.86;{45: 28.80086};47.5
20;15.9105;0.14;1.89;{65: 9.54628, 62: 6.36418};66.3
21;76.3504;0.41;1.87;{60: 76.35041};62.5
22;14.7844;0.19;1.89;{60: 8.87063, 65: 5.91376};64.5
23;26.8302;0.24;1.87;{55: 26.8302};57.5
24;8.1864;0.15;1.88;{55: 8.18637};57.5
25;12.813;0.32;1.86;{55: 12.81297};57.5
26;13.269;0.34;1.86;{55: 13.26905};57.5
27;8.8306;0.3;1.86;{55: 8.83063};57.5
28;8.4302;0.3;1.86;{55: 8.43017};57.5
29;13.1704;0.31;1.86;{55: 13.17045};57.5
30;12.4344;0.33;1.86;{55: 12.43442};57.5
31;37.9167;0.36;1.86;{55: 37.91671};57.5
32;5.8862;0.32;1.86;{55: 5.88622};57.5
33;8.0201;0.31;1.9;{65: 8.02007};67.5
34;33.0112;0.35;1.9;{65: 33.01125};67.5
35;8.5769;0.07;1.88;{60: 8.57687};62.5
36;28.8516;0.23;1.0;{55: 28.85165};57.5
37;8.2835;0.2;1.9;{62: 5.52231, 65: 2.76116};65.5
38;24.0634;0.37;1.89;{55: 24.06337};57.5
39;4.2622;0.2;1.94;{65: 4.26215};67.5
40;21.6288;0.38;1.88;{50: 18.53901, 55: 3.08983};53.2
41;29.3084;0.39;1.87;{55: 20.51591, 50: 5.86169, 60: 2.93084};57.0
42;15.9813;0.39;1.87;{60: 9.58878, 55: 6.39252};60.5
43;15.9813;0.39;1.87;{60: 9.58878, 55: 6.39252};60.5
44;45.7899;0.37;1.0;{55: 42.73723, 60: 3.05266};57.8
45;45.7899;0.37;1.0;{55: 42.73723, 60: 3.05266};57.8
46;5.563;0.36;1.9;{55: 5.56303};57.5
47;16.1676;0.41;1.88;{55: 16.16758};57.5
48;22.9015;0.4;1.89;{55: 22.90148};57.5
