;id_otp;name_otp;node_orig_id;node_dest_id;length;edge_class;street_class;is_stairs;is_no_thru_traffic;permission;allows_walking;allows_biking;traversable_walking;traversable_biking;bike_safety_factor;geometry
277;927761;Pekka Jokipaltion tie;404687;37968;62.042;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9524679 60.21902650000001, 24.952278 60.219035, 24.952223 60.21905, 24.95219 60.21907, 24.952168 60.219095, 24.952165 60.219118, 24.952177 60.219147, 24.952212 60.219169, 24.952292 60.219196, 24.952489 60.21924, 24.952551 60.219263, 24.95259 60.219289, 24.952605 60.219318, 24.9525929 60.21935980000001)
288;839643;path;190702;380170;5.832999999999999;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9613222 60.2111001, 24.9614021 60.21113440000001)
298;927754;path;404686;37927;47.177;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.9666665;LINESTRING (24.9532263 60.2200653, 24.952761 60.219917, 24.9524991 60.2198429)
406;1169372;path;196447;202339;41.751000000000005;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9710764 60.2037618, 24.9705299 60.20350250000001)
422;741468;path;56375;350230;4.88;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9641694 60.2002342, 24.9641259 60.20019600000001)
648;373272;Hämeentie;196399;204238;5.153;StreetEdge;3.0;False;False;PEDESTRIAN;True;False;True;False;3.4333332000000003;LINESTRING (24.9624515 60.1968352, 24.9624746 60.1967903)
773;373273;Hämeentie;196399;204239;21.932;StreetEdge;3.0;False;False;ALL;True;True;True;True;3.4333332000000003;LINESTRING (24.9624515 60.1968352, 24.9623632 60.1970275)
1011;1081676;Kotisaarenkatu;201924;33572;23.625999999999998;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.6666666;LINESTRING (24.969579 60.2032631, 24.9692887 60.2034191)
1115;363343;Käpyläntie;199632;104721;102.709;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;2.5;LINESTRING (24.9587488 60.21467250000001, 24.958848 60.215282, 24.9588651 60.2155941)
1311;782615;sidewalk;124816;327104;43.65;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9566749 60.2055081, 24.9572459 60.2057794)
1332;736123;path;329223;281932;6.551;StreetEdge;4.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;4.1666665;LINESTRING (24.9719982 60.21073320000001, 24.9720885 60.21077140000001)
1333;736124;path;329223;281934;6.443;StreetEdge;4.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;4.1666665;LINESTRING (24.9719982 60.21073320000001, 24.9719039 60.21069910000001)
1414;908440;bike path;399582;198370;8.015;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9638166 60.21756600000001, 24.9637087 60.21761420000001)
1769;927627;path;403164;87819;59.44;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9543286 60.19810440000001, 24.954847 60.198447, 24.954917 60.198494, 24.9549738 60.1985321)
2059;1132177;Koskelantie;327840;326260;32.715;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;2.5;LINESTRING (24.9727144 60.2167095, 24.972128 60.21666800000001)
2236;936399;path;401260;147584;21.343000000000004;StreetEdge;5.0;False;True;PEDESTRIAN;True;False;True;False;1.9666665;LINESTRING (24.9644152 60.2080757, 24.9641507 60.2082156)
2456;679281;Kongontie;260105;329219;5.712999999999999;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9715395 60.20648060000001, 24.9716091 60.2065186)
2567;740225;Limingantie;327103;349908;10.179;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9572031 60.2058025, 24.957336 60.20586590000001)
2694;794283;Arabianpolku;123608;366881;10.064;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9767463 60.20654810000001, 24.976762 60.206495, 24.9767721 60.2064585)
2718;794293;Arabiankatu;123609;366885;30.168000000000003;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6666666;LINESTRING (24.9766557 60.20655180000001, 24.976565 60.206565, 24.9761538 60.2066577)
2762;740460;Limingantie;327110;349908;28.718000000000004;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9577109 60.2060448, 24.957571 60.205978, 24.957336 60.20586590000001)
2810;794298;Arabiankatu;123613;366886;15.856;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6666666;LINESTRING (24.975402 60.206827, 24.9756662 60.20677130000001)
2892;906681;Jokiniementie;399028;217896;76.19;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9745548 60.2199783, 24.974825 60.220261, 24.975025 60.220558, 24.9750373 60.2206167)
3060;794233;Gunnel Nymanin katu;123623;366870;14.734000000000002;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.6666666;LINESTRING (24.9780254 60.2078343, 24.978146 60.207809, 24.9782707 60.20778230000001)
3061;679273;Intiankatu;260144;329218;26.745;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;1.6333333;LINESTRING (24.971121 60.20667630000001, 24.9715279 60.206546)
3199;1113519;path;323955;448418;8.163;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.964461 60.206333, 24.9643561 60.2062813)
3233;1528889;open area;457562;500891;12.776;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738348 60.2086405, 24.9740007459733 60.2085604700294)
3287;1528544;open area;457562;500832;13.220999999999998;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738348 60.2086405, 24.9736 60.20866350000001)
3288;1528545;open area;457562;500833;8.799;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738348 60.2086405, 24.9739882 60.2086192)
3289;1528871;open area;457562;500834;8.401;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738348 60.2086405, 24.9739734 60.2086094)
3290;1528873;open area;457562;500835;13.130999999999998;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738348 60.2086405, 24.9740179 60.2085652)
3291;1528875;open area;457562;500836;12.407;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738348 60.2086405, 24.9739091 60.20853520000001)
3299;1528863;open area;457561;500826;37.809;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738474 60.2086759, 24.9743352 60.2089144)
3305;1528537;open area;457561;500830;5.864;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.77;LINESTRING (24.9738474 60.2086759, 24.9737421 60.2086826)
3395;432843;bike path;61428;198360;8.0;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9672457 60.2164262, 24.967193 60.216378, 24.9671772 60.21636280000001)
3461;360590;Kunnalliskodintie;61430;198356;32.904;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;1.6666666;LINESTRING (24.9667127 60.2165715, 24.9661935 60.21671660000001)
3606;388643;Toukolankatu;196319;211384;8.552;StreetEdge;5.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;1.6666666;LINESTRING (24.972231 60.204214, 24.9721196 60.2041606)
3758;1112039;Intiankatu;260143;330154;28.761;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9711963 60.2067325, 24.9716314 60.2065905)
