;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
143;195898;osm:node:2739254411;OsmVertex;True;True;osm:node:2739254411;False;False;24.978239700000003;60.211828800000006;POINT (24.978239700000003 60.211828800000006)
200;195907;osm:node:2739254405;OsmVertex;True;True;osm:node:2739254405;False;False;24.9803996;60.21166460000001;POINT (24.980399600000002 60.211664600000006)
526;64202;osm:node:34158388;OsmVertex;True;True;osm:node:34158388;False;False;24.9774241;60.202593500000006;POINT (24.9774241 60.202593500000006)
535;47492;osm:node:34158392;OsmVertex;True;True;osm:node:34158392;False;False;24.9788309;60.20315540000001;POINT (24.978830900000002 60.20315540000001)
538;47494;osm:node:34158396;OsmVertex;True;True;osm:node:34158396;False;False;24.9804052;60.2045327;POINT (24.9804052 60.2045327)
540;47495;osm:node:34158397;OsmVertex;True;True;osm:node:34158397;False;False;24.9805334;60.20464440000001;POINT (24.980533400000002 60.20464440000001)
541;519853;1;ElevatorOffboardVertex;True;True;osm:node:3044136846:level:1_offboard;False;;24.950956100000006;60.1794887;POINT (24.950956100000003 60.1794887)
728;439524;osm:node:353734518;OsmVertex;True;True;osm:node:353734518;False;False;24.9683402;60.2010635;POINT (24.9683402 60.201063500000004)
771;47496;osm:node:34158401;OsmVertex;True;True;osm:node:34158401;False;False;24.981863699999998;60.2053993;POINT (24.9818637 60.2053993)
772;47497;osm:node:34158404;OsmVertex;True;True;osm:node:34158404;False;False;24.9821854;60.206018500000006;POINT (24.982185400000002 60.206018500000006)
774;47499;osm:node:34158408;OsmVertex;True;True;osm:node:34158408;False;False;24.982544800000003;60.207168300000006;POINT (24.982544800000003 60.207168300000006)
787;47501;osm:node:34158411;OsmVertex;True;True;osm:node:34158411;False;False;24.982478399999998;60.20797400000001;POINT (24.9824784 60.20797400000001)
788;367582;osm:node:34158415;OsmVertex;True;True;osm:node:34158415;False;False;24.9774391;60.20269330000001;POINT (24.9774391 60.20269330000001)
937;520298;default level;ElevatorOnboardVertex;True;True;osm:node:4575743331:level:default level_onboard;False;;25.036217399999998;60.2748509;POINT (25.0362174 60.274850900000004)
1324;143084;osm:node:2434430318;OsmVertex;True;True;osm:node:2434430318;False;False;24.971815300000006;60.21051310000001;POINT (24.971815300000003 60.21051310000001)
1343;451533;osm:node:2434430311;OsmVertex;True;True;osm:node:2434430311;False;False;24.973830399999997;60.2101248;POINT (24.9738304 60.2101248)
1346;356743;osm:node:2434430312;OsmVertex;True;True;osm:node:2434430312;False;False;24.9749289;60.210173399999995;POINT (24.974928900000002 60.2101734)
1356;518387;P+R;ParkAndRideVertex;True;True;P+R128356616;False;;25.1080791;60.2385853;POINT (25.1080791 60.2385853)
1357;518749;P+R;ParkAndRideVertex;True;True;P+R128356617;False;;25.109386200000007;60.238012399999995;POINT (25.109386200000003 60.2380124)
1359;519140;P+R;ParkAndRideVertex;True;True;P+R128356618;False;;25.108167100000006;60.23797505;POINT (25.108167100000003 60.23797505)
1361;368295;osm:node:2434430320;OsmVertex;True;True;osm:node:2434430320;False;False;24.976361899999997;60.210562;POINT (24.9763619 60.210562)
1362;519103;P+R;ParkAndRideVertex;True;True;P+R128356619;False;;25.108715600000004;60.23796945;POINT (25.108715600000004 60.23796945)
1366;161888;osm:node:2434430323;OsmVertex;True;True;osm:node:2434430323;False;False;24.975413699999997;60.210752600000006;POINT (24.9754137 60.210752600000006)
1381;451535;osm:node:2434430305;OsmVertex;True;True;osm:node:2434430305;False;False;24.975538500000006;60.2099745;POINT (24.975538500000003 60.2099745)
1390;383811;osm:node:2434430301;OsmVertex;True;True;osm:node:2434430301;False;False;24.9741158;60.209723399999994;POINT (24.9741158 60.2097234)
1391;451534;osm:node:2434430303;OsmVertex;True;True;osm:node:2434430303;False;False;24.9735867;60.209838899999994;POINT (24.973586700000002 60.2098389)
1392;236903;osm:node:2739254396;OsmVertex;True;True;osm:node:2739254396;False;False;24.9803979;60.21155510000001;POINT (24.9803979 60.211555100000005)
1411;195899;osm:node:2739254391;OsmVertex;True;True;osm:node:2739254391;False;False;24.9800751;60.211552399999995;POINT (24.9800751 60.2115524)
1412;215357;osm:node:2739254393;OsmVertex;True;True;osm:node:2739254393;False;False;24.9802915;60.2115542;POINT (24.9802915 60.2115542)
1431;519671;default level;ElevatorOffboardVertex;True;True;osm:node:1103202123:level:default level_offboard;False;;25.1414536;60.2070939;POINT (25.141453600000002 60.207093900000004)
1442;195903;osm:node:2739254379;OsmVertex;True;True;osm:node:2739254379;False;False;24.977404999999997;60.2104575;POINT (24.977405 60.210457500000004)
1597;242080;osm:node:2138729275;OsmVertex;True;True;osm:node:2138729275;False;False;24.9656307;60.208784400000006;POINT (24.965630700000002 60.208784400000006)
1806;293356;osm:node:1769526835;OsmVertex;True;True;osm:node:1769526835;False;False;24.967973999999998;60.2018897;POINT (24.967974 60.2018897)
1807;293357;osm:node:1769526836;OsmVertex;True;True;osm:node:1769526836;False;False;24.968047199999997;60.201924399999996;POINT (24.9680472 60.2019244)
1808;225775;osm:node:1769526837;OsmVertex;True;True;osm:node:1769526837;False;False;24.968104200000006;60.20195210000001;POINT (24.968104200000003 60.20195210000001)
1810;293364;osm:node:1769526839;OsmVertex;True;True;osm:node:1769526839;False;False;24.968916699999998;60.2023419;POINT (24.9689167 60.2023419)
1893;519428;2;ElevatorOnboardVertex;True;True;osm:node:3393206379:level:2_onboard;False;;24.876974200000006;60.23974810000001;POINT (24.876974200000003 60.23974810000001)
1947;495238;area splitter at (24.968384533565505, 60.20758541198756, 0.0);IntersectionVertex;True;True;area splitter at (24.968384533565505, 60.20758541198756, 0.0);False;;24.9683845335655;60.20758541198756;POINT (24.968384533565505 60.20758541198756)
1986;518819;P+R;ParkAndRideVertex;True;True;P+R320727412;False;;25.006726900000004;60.24927525;POINT (25.006726900000004 60.249275250000004)
2034;520123;1;ElevatorOffboardVertex;True;True;osm:node:3631947257:level:1_offboard;False;;24.9350249;60.198903;POINT (24.935024900000002 60.198903)
2035;9046;osm:node:613062342;OsmVertex;True;True;osm:node:613062342;False;False;24.960199600000006;60.204609899999994;POINT (24.960199600000003 60.2046099)
2058;9061;osm:node:613062335;OsmVertex;True;True;osm:node:613062335;False;False;24.9596409;60.20428680000001;POINT (24.9596409 60.204286800000006)
2065;9047;osm:node:613062361;OsmVertex;True;True;osm:node:613062361;False;False;24.9602527;60.204580299999996;POINT (24.9602527 60.2045803)
2067;9064;osm:node:613062362;OsmVertex;True;True;osm:node:613062362;False;False;24.9603651;60.204624900000006;POINT (24.9603651 60.204624900000006)
2075;9055;osm:node:613062356;OsmVertex;True;True;osm:node:613062356;False;False;24.960193500000006;60.20467270000001;POINT (24.960193500000003 60.2046727)
2076;9063;osm:node:613062358;OsmVertex;True;True;osm:node:613062358;False;False;24.960213699999997;60.20456480000001;POINT (24.9602137 60.20456480000001)
2090;520241;2;ElevatorOffboardVertex;True;True;osm:node:3365636945:level:2_offboard;False;;24.804721;60.17588810000001;POINT (24.804721 60.1758881)
2386;520335;default level;ElevatorOffboardVertex;True;True;osm:node:4818232013:level:default level_offboard;False;;24.779869;60.174596799999996;POINT (24.779869 60.1745968)
2461;259394;osm:node:1621308645;OsmVertex;True;True;osm:node:1621308645;False;False;24.9791448;60.20566330000001;POINT (24.9791448 60.205663300000005)
2483;259380;osm:node:1621308669;OsmVertex;True;True;osm:node:1621308669;False;False;24.978920199999997;60.2057143;POINT (24.9789202 60.205714300000004)
2499;519720;3;ElevatorOnboardVertex;True;True;osm:node:4577379400:level:3_onboard;False;;25.010764100000006;60.251718200000006;POINT (25.010764100000003 60.251718200000006)
2526;196414;osm:node:568365143;OsmVertex;True;True;osm:node:568365143;False;False;24.965282700000003;60.19707710000001;POINT (24.965282700000003 60.1970771)
2548;305433;osm:node:568365135;OsmVertex;True;True;osm:node:568365135;False;False;24.965634400000006;60.19632270000001;POINT (24.965634400000003 60.1963227)
2549;305434;osm:node:568365137;OsmVertex;True;True;osm:node:568365137;False;False;24.9654826;60.1966703;POINT (24.9654826 60.1966703)
2556;166102;osm:node:480227061;OsmVertex;True;True;osm:node:480227061;False;False;24.970993399999998;60.2126692;POINT (24.9709934 60.2126692)
2576;166100;osm:node:480227075;OsmVertex;True;True;osm:node:480227075;False;False;24.9720562;60.21197830000001;POINT (24.9720562 60.211978300000006)
2582;385134;osm:node:928357291;OsmVertex;True;True;osm:node:928357291;False;False;24.959889800000006;60.2172897;POINT (24.959889800000003 60.2172897)
2583;385160;osm:node:928357292;OsmVertex;True;True;osm:node:928357292;False;False;24.960918000000003;60.2186889;POINT (24.960918000000003 60.218688900000004)
2584;385135;osm:node:928357293;OsmVertex;True;True;osm:node:928357293;False;False;24.9600298;60.217473899999995;POINT (24.9600298 60.2174739)
2586;385141;osm:node:928357294;OsmVertex;True;True;osm:node:928357294;False;False;24.9670123;60.21947120000001;POINT (24.9670123 60.2194712)
2587;385158;osm:node:928357295;OsmVertex;True;True;osm:node:928357295;False;False;24.9595895;60.21689920000001;POINT (24.9595895 60.2168992)
2588;198375;osm:node:928357297;OsmVertex;True;True;osm:node:928357297;False;False;24.9627051;60.21818990000001;POINT (24.9627051 60.218189900000006)
2590;382363;osm:node:928357299;OsmVertex;True;True;osm:node:928357299;False;False;24.9663298;60.21867760000001;POINT (24.9663298 60.21867760000001)
2887;519401;2;ElevatorOffboardVertex;True;True;osm:node:4574649483:level:2_offboard;False;;24.8833211;60.230368799999994;POINT (24.8833211 60.2303688)
2892;204239;osm:node:5041100278;OsmVertex;True;True;osm:node:5041100278;False;False;24.9623632;60.1970275;POINT (24.962363200000002 60.197027500000004)
3004;225019;osm:node:364526400;OsmVertex;True;True;osm:node:364526400;False;False;24.956814400000006;60.2044483;POINT (24.956814400000003 60.2044483)
3009;520328;-1;ElevatorOnboardVertex;True;True;osm:node:5942694873:level:-1_onboard;False;;24.978634000000003;60.1873635;POINT (24.978634000000003 60.187363500000004)
3093;410399;osm:node:504482941;OsmVertex;True;True;osm:node:504482941;False;False;24.9732669;60.20780130000001;POINT (24.973266900000002 60.20780130000001)
3107;163638;osm:node:504482950;OsmVertex;True;True;osm:node:504482950;False;False;24.9730896;60.2067361;POINT (24.9730896 60.2067361)
3110;503304;osm:node:504482952;OsmVertex;True;True;osm:node:504482952;False;False;24.972898800000007;60.206579100000006;POINT (24.972898800000003 60.206579100000006)
3116;383826;osm:node:504482948;OsmVertex;True;True;osm:node:504482948;False;False;24.973514100000006;60.208943999999995;POINT (24.973514100000003 60.208944)
3127;163631;osm:node:504482914;OsmVertex;True;True;osm:node:504482914;False;False;24.971959;60.20872840000001;POINT (24.971959000000002 60.208728400000005)
3144;410397;osm:node:504482932;OsmVertex;True;True;osm:node:504482932;False;False;24.972624600000003;60.20808690000001;POINT (24.972624600000003 60.208086900000005)
3152;408348;osm:node:504482928;OsmVertex;True;True;osm:node:504482928;False;False;24.9727525;60.20838300000001;POINT (24.972752500000002 60.208383000000005)
3169;383828;osm:node:504482901;OsmVertex;True;True;osm:node:504482901;False;False;24.9749788;60.20958340000001;POINT (24.974978800000002 60.20958340000001)
3170;383815;osm:node:504482902;OsmVertex;True;True;osm:node:504482902;False;False;24.9739515;60.2094351;POINT (24.973951500000002 60.2094351)
3191;308429;osm:node:504482910;OsmVertex;True;True;osm:node:504482910;False;False;24.9735556;60.2089922;POINT (24.9735556 60.208992200000004)
3196;383812;osm:node:504482905;OsmVertex;True;True;osm:node:504482905;False;False;24.9738363;60.209464200000006;POINT (24.973836300000002 60.209464200000006)
3197;383831;osm:node:504482907;OsmVertex;True;True;osm:node:504482907;False;False;24.9735723;60.2090645;POINT (24.9735723 60.209064500000004)
3200;308428;osm:node:504482909;OsmVertex;True;True;osm:node:504482909;False;False;24.9734897;60.2090059;POINT (24.973489700000002 60.2090059)
3470;451701;osm:node:250364992;OsmVertex;True;True;osm:node:250364992;False;False;24.976665899999997;60.2064476;POINT (24.9766659 60.206447600000004)
